#cpu 33:57.19 total
run, score, built
328, 0.235294, -
329, 0.235294, -
330, 0.235294, -
331, 0.235294, -
332, 0.235294, -
333, 0.235294, -
334, 0.235294, -
335, 0.235294, -
336, 0.235294, -
337, 0.235294, -
338, 0.235294, -
339, 0.235294, -
340, 0.235294, -
341, 0.235294, -
342, 0.235294, -
343, 0.235294, -
344, 0.235294, -
345, 0.235294, -
346, 0.235294, -
347, 0.235294, -
348, 0.235294, -
349, 0.235294, -
350, 0.235294, -
351, 0.235294, -
352, 0.235294, -
353, 0.235294, -
354, 0.235294, -
355, 0.235294, -
356, 0.235294, -
357, 0.235294, -
358, 0.235294, -
359, 0.235294, -
360, 0.235294, -
361, 0.235294, -
362, 0.235294, -
363, 0.235294, -
364, 0.235294, -
365, 0.235294, -
366, 0.235294, -
366, 0.235294, -
368, 0.235294, -
369, 0.235294, -
370, 0.235294, -
371, 0.235294, -
372, 0.235294, -
373, 0.235294, -
374, 0.235294, -
375, 0.235294, -
376, 0.235294, -
377, 0.235294, -
378, 0.235294, -
379, 0.235294, -
380, 0.235294, -
381, 0.235294, -
382, 0.235294, -
383, 0.235294, -
384, 0.235294, -
385, 0.235294, -
386, 0.235294, -
387, 0.235294, -
388, 0.235294, -
389, 0.235294, -
390, 0.235294, -
391, 0.235294, -
392, 0.235294, -
393, 0.235294, -
394, 0.235294, -
395, 0.235294, -
396, 0.235294, -
397, 0.235294, -
398, 0.235294, -
399, 0.235294, -
400, 0.235294, -
401, 0.235294, -
402, 0.235294, -
403, 0.235294, -
404, 0.235294, -
405, 0.235294, -
406, 0.235294, -
407, 0.235294, -
408, 0.235294, -
409, 0.235294, -
410, 0.235294, -
411, 0.235294, -
412, 0.235294, -
413, 0.235294, -
414, 0.235294, -
415, 0.235294, -
416, 0.235294, -
417, 0.235294, -
418, 0.294118, -
419, 0.294118, -
420, 0.294118, -
421, 0.294118, -
422, 0.294118, -
423, 0.294118, -
424, 0.294118, -
425, 0.294118, -
426, 0.294118, -
427, 0.294118, -
428, 0.294118, -
429, 0.294118, -
430, 0.294118, -
431, 0.294118, -
432, 0.294118, -
433, 0.294118, -
434, 0.277778, -
435, 0.277778, -
436, 0.277778, -
437, 0.277778, -
438, 0.277778, -
439, 0.277778, -
440, 0.277778, -
441, 0.277778, -
442, 0.277778, -
443, 0.277778, -
444, 0.277778, -
445, 0.277778, -
446, 0.277778, -
447, 0.277778, -
448, 0.277778, -
449, 0.277778, -
450, 0.277778, -
451, 0.277778, -
452, 0.277778, -
453, 0.277778, -
454, 0.277778, -
455, 0.277778, -
456, 0.277778, -
457, 0.277778, -
458, 0.277778, -
459, 0.277778, -
460, 0.277778, -
461, 0.277778, -
462, 0.277778, -
463, 0.277778, -
464, 0.277778, -
465, 0.277778, -
466, 0.277778, -
467, 0.277778, -
468, 0.277778, -
469, 0.277778, -
470, 0.277778, -
471, 0.277778, -
472, 0.277778, -
473, 0.277778, -
474, 0.277778, -
475, 0.277778, -
476, 0.277778, -
477, 0.277778, -
478, 0.277778, -
479, 0.277778, -
480, 0.277778, -
481, 0.277778, -
482, 0.277778, -
483, 0.277778, -
484, 0.277778, -
485, 0.277778, -
486, 0.277778, -
487, 0.277778, -
488, 0.277778, -
489, 0.277778, -
490, 0.277778, -
491, 0.277778, -
492, 0.277778, -
493, 0.277778, -
494, 0.277778, -
495, 0.277778, -
496, 0.277778, -
497, 0.277778, -
498, 0.277778, -
499, 0.277778, -
500, 0.277778, -
501, 0.277778, -
502, 0.277778, -
503, 0.277778, -
504, 0.277778, -
505, 0.277778, -
506, 0.277778, -
507, 0.277778, -
508, 0.277778, -
509, 0.277778, -
510, 0.277778, -
511, 0.277778, -
512, 0.277778, -
513, 0.277778, -
514, 0.277778, -
515, 0.277778, -
516, 0.277778, -
517, 0.277778, -
518, 0.277778, -
519, 0.277778, -
520, 0.277778, -
521, 0.277778, -
522, 0.277778, -
523, 0.277778, -
524, 0.277778, -
525, 0.277778, -
526, 0.277778, -
527, 0.277778, -
528, 0.277778, -
529, 0.277778, -
530, 0.277778, -
531, 0.277778, -
532, 0.277778, -
533, 0.277778, -
534, 0.277778, -
535, 0.277778, -
536, 0.277778, -
537, 0.277778, -
538, 0.277778, -
539, 0.277778, -
540, 0.277778, -
541, 0.277778, -
542, 0.277778, -
543, 0.277778, -
544, 0.277778, -
545, 0.277778, -
546, 0.277778, -
547, 0.277778, -
548, 0.277778, -
549, 0.277778, -
550, 0.277778, -
551, 0.277778, -
552, 0.277778, -
553, 0.277778, -
554, 0.277778, -
555, 0.277778, -
556, 0.277778, -
557, 0.277778, -
558, 0.277778, -
559, 0.277778, -
