initial_ang_1,initial_ang_2,initial_ang_3,initial_ang_4,initial_ang_5,target_pos_x,target_pos_y,target_pos_z,final_ang_1,final_ang_2,final_ang_3,final_ang_4,final_ang_5,algorithm
0,0,0,0,0,21.2882,-421.458,351.426,1.62105,2.92946,5.79378,1.87208,1.34452,SGO_Adam
0,0,0,0,0,8.9863,-331.375,381.546,1.59788,3.4249,5.17043,1.43867,1.34452,NN_Adam
0,0,0,0,0,-230.044,-130.663,503.132,0.51645,1.79089,0.273129,2.24199,0.906681,DE_Adam
0,0,0,0,0,29.9907,188.321,165.057,1.41233,3.18557,3.79025,0.591969,1.68825,NN_Adam
0,0,0,0,0,-282.229,45.4089,352.753,2.98195,0.732056,1.47098,5.61947,0.988303,NN_Adam
0,0,0,0,0,327.287,308.526,118.16,0.755749,6.23479,5.27776,3.08093,5.4464,GA_Adam
0,0,0,0,0,192.018,-475.585,183.996,5.09581,0.36193,6.26747,0.926995,1.80074,GA_Adam
0,0,0,0,0,-473.046,-217.483,219.96,3.57247,6.11932,0.264608,1.86975,0.384745,SGO_Adam
0,0,0,0,0,386.297,-119.38,231.323,2.84169,2.50395,1.28156,0.583265,2.71482,DE_Adam
0,0,0,0,0,-125.843,208.924,198.852,2.11263,4.41025,2.02799,2.38158,0.486989,NN_Adam
0,0,0,0,0,-97.5044,-226.327,2.14323,1.16394,2.19413,2.36788,0.832261,0.324958,GA_Adam
0,0,0,0,0,206.571,-57.7947,201.196,2.86859,3.45275,3.37785,4.02009,6.22657,SGO_Adam
0,0,0,0,0,55.062,-328.797,302.564,1.73664,3.78494,5.06303,1.21253,1.34452,NN_Adam
0,0,0,0,0,-359.461,109.841,412.113,2.84468,0.117877,0.163415,2.58365,2.06914,SGO_Adam
0,0,0,0,0,141.43,-188.864,69.4791,2.2134,4.82455,3.59261,2.75217,2.21858,PSO_Adam
0,0,0,0,0,-255.993,-217.885,20.0834,3.84665,0.133947,0.388972,5.91067,0.954884,GA_Adam
0,0,0,0,0,272.488,-154.683,244.919,2.62519,1.76995,2.09626,0.682071,1.09903,PSO_Adam
0,0,0,0,0,64.869,140.409,74.5981,4.27935,5.39735,3.0683,2.82293,0.353671,TLBO_Adam
0,0,0,0,0,-356.979,-4.9182,98.8949,0.0136694,2.92516,5.78831,3.17498,3.84344,NN_Adam
0,0,0,0,0,175.739,-50.0281,148.308,2.8643,3.70321,2.88733,4.20583,6.22657,NN_Adam
0,0,0,0,0,-172.281,188.652,283.813,2.31026,0.772375,3.65593,4.23904,6.17791,NN_Adam
0,0,0,0,0,-365.342,376.389,164.745,2.34101,6.08832,0.633914,1.08735,0.999488,GA_Adam
0,0,0,0,0,177.594,-335.883,499.059,5.19871,0.497727,0.242763,1.86513,5.13599,SGO_Adam
0,0,0,0,0,235.653,-352.86,212.229,5.30118,0.741611,6.26104,0.219163,2.87431,NN_Adam
0,0,0,0,0,143.243,419.853,173.626,1.24172,0.0713728,1.0012,0.0041849,1.38371,SGO_Adam
0,0,0,0,0,-234.63,210.601,346.198,2.40988,1.03281,4.28352,3.48891,6.17791,NN_Adam
0,0,0,0,0,386.403,136.306,254.353,0.338964,5.44369,1.5399,1.54338,2.76285,NN_Adam
0,0,0,0,0,-260.551,119.695,397.973,2.71073,0.715595,1.46469,5.85192,0.988303,NN_Adam
0,0,0,0,0,-86.672,-187.506,490.23,1.1377,1.23092,1.40372,1.42756,6.01895,SGO_Adam
0,0,0,0,0,-22.8747,-262.461,177.513,1.4837,1.37284,1.93893,1.87077,6.03257,DE_Adam
0,0,0,0,0,26.0035,258.65,91.1627,1.47048,2.00467,3.62165,1.67535,1.68825,NN_Adam
0,0,0,0,0,-301.007,-89.0134,404.043,0.287368,1.76041,1.47268,0.909717,1.88987,SGO_Adam
0,0,0,0,0,-141.484,295.86,85.5543,2.01655,4.55514,1.56992,2.27467,0.164514,NN_Adam
0,0,0,0,0,237.128,-31.2662,236.815,3.01035,3.34521,3.72175,3.80879,6.22657,NN_Adam
0,0,0,0,0,-169.432,300.891,250.332,2.08355,5.12849,1.7751,1.82274,0.486989,NN_Adam
0,0,0,0,0,184.275,-238.108,188.18,2.2293,4.2784,4.03706,2.39574,0.247987,GA_Adam
0,0,0,0,0,342.369,-37.4015,249.023,3.0324,2.29672,1.78943,0.171165,2.71482,NN_Adam
0,0,0,0,0,-373.884,-80.5917,359.67,0.212185,2.07738,0.658445,1.86588,1.88987,NN_Adam
0,0,0,0,0,-120.405,99.5157,564.495,2.45076,0.435589,1.17858,1.57965,3.33779,NN_Adam
0,0,0,0,0,202.448,-330.86,111.144,2.11984,3.50828,0.442758,0.190859,4.79934,NN_Adam
0,0,0,0,0,507.896,48.3358,209.557,0.0946632,6.02325,0.859035,1.09233,2.89142,SGO_Adam
0,0,0,0,0,-105.25,-372.426,117.641,1.29524,2.34603,0.899068,2.08513,1.72265,PSO_Adam
0,0,0,0,0,-106.656,300,531.496,1.91216,0.917474,0.543122,0.734331,5.36892,NN_Adam
0,0,0,0,0,-108.286,180.241,319.616,2.11151,0.811491,3.64907,4.46419,6.17791,NN_Adam
0,0,0,0,0,24.3839,126.663,81.4448,4.52218,5.54499,2.87617,2.92729,0.353671,NN_Adam
0,0,0,0,0,262.889,283.297,158.907,0.822644,6.06816,5.39525,3.53817,5.4464,NN_Adam
0,0,0,0,0,-72.942,131.509,127.71,2.07695,0.400272,1.07207,4.63223,0.914063,SGO_Adam
0,0,0,0,0,82.427,300.335,206.898,1.30287,0.042874,2.24095,5.34284,4.84654,NN_Adam
0,0,0,0,0,-81.9241,-45.7084,92.6387,0.508698,0.0726148,2.4987,2.83052,5.50527,NN_Adam
0,0,0,0,0,311.169,-314.397,54.3626,2.35093,3.6758,6.09708,1.07282,0.758087,SGO_Adam
0,0,0,0,0,365.695,-304.718,384.661,5.5885,0.344286,0.359119,1.33424,2.71482,GA_Adam
0,0,0,0,0,188.965,434.549,279.331,1.16063,0.854181,5.12551,2.13333,2.83862,NN_Adam
0,0,0,0,0,70.6032,-176.739,281.108,1.95077,2.48376,4.3583,4.30197,2.27078,SGO_Adam
0,0,0,0,0,378.796,-147.266,66.4048,2.77056,3.35855,0.723737,0.341586,3.16442,SGO_Adam
0,0,0,0,0,-304.461,14.1598,565.165,3.09486,0.803902,0.0666825,1.90823,0.390971,DE_Adam
